Datetime,kasus,dirawat,sembuh,meninggal
2020-03-01 07:00:00,2,2,0,0
2020-03-02 07:00:00,2,2,0,0
2020-03-03 07:00:00,2,2,0,0
2020-03-04 07:00:00,2,2,0,0
2020-03-05 07:00:00,0,-1,0,1
2020-03-06 07:00:00,0,0,0,0
2020-03-07 07:00:00,0,-2,0,2
2020-03-08 07:00:00,0,0,0,0
2020-03-09 07:00:00,0,-1,0,1
2020-03-10 07:00:00,0,0,0,0
2020-03-11 07:00:00,0,0,0,0
2020-03-12 07:00:00,2,-3,4,1
2020-03-13 07:00:00,4,0,3,1
2020-03-14 07:00:00,2,0,1,1
2020-03-15 07:00:00,8,5,0,3
2020-03-16 07:00:00,2,-1,0,3
2020-03-17 07:00:00,2,1,0,1
2020-03-18 07:00:00,1,0,0,1
2020-03-19 07:00:00,2,1,1,0
2020-03-20 07:00:00,5,1,1,3
2020-03-21 07:00:00,8,-1,6,3
2020-03-22 07:00:00,2,-1,3,0
2020-03-23 07:00:00,0,0,0,0
2020-03-24 07:00:00,16,-6,3,19
2020-03-25 07:00:00,1,0,0,1
2020-03-26 07:00:00,57,55,0,2
2020-03-27 07:00:00,74,61,6,7
2020-03-28 07:00:00,48,30,9,9
2020-03-29 07:00:00,52,42,0,10
2020-03-30 07:00:00,33,26,0,7
2020-03-31 07:00:00,44,34,0,10
2020-04-01 07:00:00,59,58,0,1
2020-04-02 07:00:00,70,63,2,5
2020-04-03 07:00:00,71,63,2,6
2020-04-04 07:00:00,57,44,5,8
2020-04-05 07:00:00,87,74,2,11
2020-04-06 07:00:00,103,89,7,7
2020-04-07 07:00:00,113,96,3,14
2020-04-08 07:00:00,90,77,5,8
2020-04-09 07:00:00,228,189,5,34
2020-04-10 07:00:00,53,38,4,11
2020-04-11 07:00:00,190,173,7,10
2020-04-12 07:00:00,156,86,37,33
2020-04-13 07:00:00,135,127,1,7
2020-04-14 07:00:00,122,112,0,10
2020-04-15 07:00:00,143,114,20,9
